device_id,room_id,building_id,device_type,count,rated_watts_each,controllable
BLK-A-F01-R01-LIGHT,BLK-A-F01-R01,BLK-A,light,15,28.0,True
BLK-A-F01-R01-FAN,BLK-A-F01-R01,BLK-A,fan,8,75.0,True
BLK-A-F01-R01-AC,BLK-A-F01-R01,BLK-A,ac,1,1650.0,True
BLK-A-F01-R01-COMPUTER,BLK-A-F01-R01,BLK-A,computer,1,180.0,True
BLK-A-F01-R01-PROJECTOR,BLK-A-F01-R01,BLK-A,projector,1,260.0,True
BLK-A-F01-R02-LIGHT,BLK-A-F01-R02,BLK-A,light,21,28.0,True
BLK-A-F01-R02-FAN,BLK-A-F01-R02,BLK-A,fan,11,75.0,True
BLK-A-F01-R02-AC,BLK-A-F01-R02,BLK-A,ac,2,1650.0,True
BLK-A-F01-R02-PROJECTOR,BLK-A-F01-R02,BLK-A,projector,1,260.0,True
BLK-A-F01-R03-LIGHT,BLK-A-F01-R03,BLK-A,light,18,28.0,True
BLK-A-F01-R03-FAN,BLK-A-F01-R03,BLK-A,fan,9,75.0,True
BLK-A-F01-R03-AC,BLK-A-F01-R03,BLK-A,ac,2,1650.0,True
BLK-A-F01-R03-COMPUTER,BLK-A-F01-R03,BLK-A,computer,1,180.0,True
BLK-A-F01-R03-PROJECTOR,BLK-A-F01-R03,BLK-A,projector,1,260.0,True
BLK-A-F01-R04-LIGHT,BLK-A-F01-R04,BLK-A,light,15,28.0,True
BLK-A-F01-R04-FAN,BLK-A-F01-R04,BLK-A,fan,8,75.0,True
BLK-A-F01-R04-AC,BLK-A-F01-R04,BLK-A,ac,1,1650.0,True
BLK-A-F01-R04-COMPUTER,BLK-A-F01-R04,BLK-A,computer,1,180.0,True
BLK-A-F01-R04-PROJECTOR,BLK-A-F01-R04,BLK-A,projector,1,260.0,True
BLK-A-F02-R01-LIGHT,BLK-A-F02-R01,BLK-A,light,16,28.0,True
BLK-A-F02-R01-FAN,BLK-A-F02-R01,BLK-A,fan,8,75.0,True
BLK-A-F02-R01-AC,BLK-A-F02-R01,BLK-A,ac,1,1650.0,True
BLK-A-F02-R01-PROJECTOR,BLK-A-F02-R01,BLK-A,projector,1,260.0,True
BLK-A-F02-R02-LIGHT,BLK-A-F02-R02,BLK-A,light,19,28.0,True
