room_id,building_id,building_name,category,floor,room_name,room_type,capacity,hvac_available,computer_count,lighting_count,fan_count,ac_count,projector_count
BLK-A-F01-R01,BLK-A,Academic Block A — Engineering,academic,1,Classroom 101,classroom,42,True,1,15,8,1,1
BLK-A-F01-R02,BLK-A,Academic Block A — Engineering,academic,1,Classroom 102,classroom,59,True,0,21,11,2,1
BLK-A-F01-R03,BLK-A,Academic Block A — Engineering,academic,1,Classroom 103,classroom,52,True,1,18,9,2,1
BLK-A-F01-R04,BLK-A,Academic Block A — Engineering,academic,1,Classroom 104,classroom,42,True,1,15,8,1,1
BLK-A-F02-R01,BLK-A,Academic Block A — Engineering,academic,2,Classroom 201,classroom,46,True,0,16,8,1,1
BLK-A-F02-R02,BLK-A,Academic Block A — Engineering,academic,2,Classroom 202,classroom,55,True,1,19,10,2,1
BLK-A-F02-R03,BLK-A,Academic Block A — Engineering,academic,2,Classroom 203,classroom,62,True,1,22,11,2,1
BLK-A-F02-R04,BLK-A,Academic Block A — Engineering,academic,2,Classroom 204,classroom,61,True,1,21,11,2,1
BLK-A-F03-R01,BLK-A,Academic Block A — Engineering,academic,3,Classroom 301,classroom,55,True,0,19,10,2,1
BLK-A-F03-R02,BLK-A,Academic Block A — Engineering,academic,3,Classroom 302,classroom,65,True,0,23,12,2,1
BLK-A-F03-R03,BLK-A,Academic Block A — Engineering,academic,3,Classroom 303,classroom,55,True,0,19,10,2,1
BLK-A-F03-R04,BLK-A,Academic Block A — Engineering,academic,3,Classroom 304,classroom,45,True,1,16,8,1,1
BLK-A-F04-R01,BLK-A,Academic Block A — Engineering,academic,4,Classroom 401,classroom,63,True,1,22,11,2,1
BLK-A-F04-R02,BLK-A,Academic Block A — Engineering,academic,4,Classroom 402,classroom,52,True,1,18,9,2,1
BLK-A-F04-R03,BLK-A,Academic Block A — Engineering,academic,4,Classroom 403,classroom,56,True,0,20,10,2,1
BLK-A-F04-R04,BLK-A,Academic Block A — Engineering,academic,4,Classroom 404,classroom,53,True,0,19,10,2,1
BLK-B-F01-R01,BLK-B,Academic Block B — Sciences,academic,1,Classroom 101,classroom,37,True,2,13,7,1,1
BLK-B-F01-R02,BLK-B,Academic Block B — Sciences,academic,1,Classroom 102,classroom,57,True,0,20,10,2,1
BLK-B-F01-R03,BLK-B,Academic Block B — Sciences,academic,1,Classroom 103,classroom,56,True,3,20,10,2,1
BLK-B-F02-R01,BLK-B,Academic Block B — Sciences,academic,2,Classroom 201,classroom,41,True,2,14,7,1,1
BLK-B-F02-R02,BLK-B,Academic Block B — Sciences,academic,2,Classroom 202,classroom,39,True,3,14,7,1,1
BLK-B-F02-R03,BLK-B,Academic Block B — Sciences,academic,2,Classroom 203,classroom,52,True,1,18,9,2,1
BLK-B-F03-R01,BLK-B,Academic Block B — Sciences,academic,3,Classroom 301,classroom,36,True,3,13,6,1,1
BLK-B-F03-R02,BLK-B,Academic Block B — Sciences,academic,3,Classroom 302,classroom,46,True,3,16,8,1,1
BLK-B-F03-R03,BLK-B,Academic Block B — Sciences,academic,3,Classroom 303,classroom,51,True,3,18,9,2,1
BLK-B-F04-R01,BLK-B,Academic Block B — Sciences,academic,4,Classroom 401,classroom,53,True,0,19,10,2,1
BLK-B-F04-R02,BLK-B,Academic Block B — Sciences,academic,4,Classroom 402,classroom,44,True,1,15,8,1,1
BLK-B-F04-R03,BLK-B,Academic Block B — Sciences,academic,4,Classroom 403,classroom,47,True,0,16,8,1,1
BLK-C-F01-R01,BLK-C,Academic Block C — Management & Humanities,academic,1,Classroom 101,classroom,61,True,0,20,10,2,1
BLK-C-F01-R02,BLK-C,Academic Block C — Management & Humanities,academic,1,Classroom 102,classroom,69,True,1,22,11,2,1
BLK-C-F01-R03,BLK-C,Academic Block C — Management & Humanities,academic,1,Classroom 103,classroom,76,True,1,24,12,2,1
BLK-C-F02-R01,BLK-C,Academic Block C — Management & Humanities,academic,2,Classroom 201,classroom,54,True,1,17,9,2,1
BLK-C-F02-R02,BLK-C,Academic Block C — Management & Humanities,academic,2,Classroom 202,classroom,56,True,0,18,9,2,1
BLK-C-F02-R03,BLK-C,Academic Block C — Management & Humanities,academic,2,Classroom 203,classroom,76,True,0,24,12,2,1
BLK-C-F03-R01,BLK-C,Academic Block C — Management & Humanities,academic,3,Classroom 301,classroom,43,True,0,14,7,1,1
